precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP,pct_dem,pct_rep,pct_nav,pct_oth,pct_con,pct_ind,pct_lbt,pct_nlb,pct_pgp,pct_pro,pct_wfp,pct_wtp,dem_advantage,major_party_pct,nav_pct_rank,political_lean,cnt_splitt,cnt_cavagnolo,cnt_leof,cnt_writein,cnt_total_votes,participated_election,pct_splitt,pct_cavagnolo,pct_leof,pct_writein,turnout_rate,vote_margin,margin_pct,leading_candidate,competitiveness,dem_performance_vs_reg,rep_performance_vs_reg,high_turnout,engagement_score,record_type,in_zone1,has_voter_data,has_election_data,complete_record
2801,8457.0,4940.0,546.0,2461.0,27.0,1.0,327.0,49.0,19.0,43.0,19.0,24.0,1.0,0.5841314887075795,0.06456190138346932,0.29100153718812816,0.0031926214969847464,0.00011824524062906468,0.03866619368570415,0.005794016790824169,0.002246659571952229,0.0050845453470497815,0.002246659571952229,0.002837885775097552,0.00011824524062906468,0.5195695873241102,0.6486933900910488,0.29100153718812816,Strong Dem,1786.0,496.0,29.0,10.0,2321.0,True,0.7694959069366653,0.2137009909521758,0.012494614390348987,0.004308487720809996,0.27444720350005913,1290.0,0.5557949159844895,Splitt,Safe,0.18536441822908578,0.14913908956870647,1.0,0.3128769067045052,precinct,True,True,True,True
2802,1202.0,659.0,173.0,301.0,3.0,0.0,56.0,5.0,0.0,3.0,1.0,1.0,0.0,0.5482529118136439,0.14392678868552414,0.2504159733777038,0.0024958402662229617,0.0,0.04658901830282862,0.004159733777038269,0.0,0.0024958402662229617,0.0008319467554076539,0.0008319467554076539,0.0,0.4043261231281198,0.692179700499168,0.2504159733777038,Strong Dem,264.0,82.0,3.0,0.0,349.0,True,0.7564469914040115,0.2349570200573066,0.008595988538681949,0.0,0.29034941763727123,182.0,0.5214899713467048,Splitt,Safe,0.20819407959036762,0.09103023137178246,1.0,0.29908485856905165,precinct,True,True,True,True
2803,3465.0,1816.0,173.0,1216.0,11.0,3.0,155.0,20.0,20.0,23.0,19.0,9.0,0.0,0.5240981240981241,0.049927849927849925,0.35093795093795094,0.0031746031746031746,0.0008658008658008658,0.044733044733044736,0.005772005772005772,0.005772005772005772,0.006637806637806638,0.005483405483405483,0.0025974025974025974,0.0,0.47417027417027413,0.574025974025974,0.35093795093795094,Strong Dem,482.0,130.0,12.0,4.0,628.0,True,0.767515923566879,0.2070063694267516,0.01910828025477707,0.006369426751592357,0.18124098124098123,352.0,0.5605095541401274,Splitt,Safe,0.24341779946875497,0.15707851949890167,0.0,0.3036075036075036,precinct,True,True,True,True
2804,7542.0,4410.0,729.0,1951.0,28.0,2.0,313.0,36.0,13.0,27.0,13.0,19.0,1.0,0.5847255369928401,0.09665871121718377,0.2586846990188279,0.0037125430920180325,0.00026518164942985947,0.041500928135773,0.00477326968973747,0.0017236807212940865,0.003579952267303103,0.0017236807212940865,0.002519225669583665,0.00013259082471492973,0.48806682577565635,0.6813842482100239,0.2586846990188279,Strong Dem,1618.0,542.0,26.0,13.0,2199.0,True,0.7357889949977262,0.2464756707594361,0.01182355616189177,0.005911778080945885,0.29156722354813047,1076.0,0.48931332423829016,Splitt,Safe,0.15106345800488608,0.14981695954225233,1.0,0.3050914876690533,precinct,True,True,True,True
2805,9086.0,5325.0,919.0,2372.0,41.0,2.0,316.0,44.0,13.0,31.0,7.0,16.0,0.0,0.5860664758969844,0.10114461809377064,0.2610609729253797,0.004512436715826546,0.00022011886418666079,0.03477878054149241,0.004842615012106538,0.001430772617213295,0.0034118423948932422,0.0007704160246533128,0.0017609509134932863,0.0,0.48492185780321373,0.687211093990755,0.2610609729253797,Strong Dem,2256.0,510.0,37.0,15.0,2818.0,True,0.8005677785663591,0.18097941802696949,0.01312987934705465,0.00532292405961675,0.3101474796390051,1746.0,0.6195883605393896,Splitt,Safe,0.21450130266937473,0.07983479993319885,1.0,0.3114681928241251,precinct,True,True,True,True
2806,9631.0,5600.0,650.0,2774.0,54.0,8.0,387.0,32.0,24.0,46.0,18.0,38.0,0.0,0.5814557159173502,0.06749039559754957,0.2880282421347731,0.005606894403488734,0.0008306510227390718,0.04018274322500259,0.003322604090956287,0.002491953068217215,0.004776243380749662,0.0018689648011629115,0.003945592358010591,0.0,0.5139653203198007,0.6489461115148998,0.2880282421347731,Strong Dem,2270.0,443.0,35.0,13.0,2761.0,True,0.8221658819268381,0.1604491126403477,0.012676566461427018,0.004708438971387179,0.28667843422282213,1827.0,0.6617167692864904,Splitt,Safe,0.2407101660094879,0.09295871704279812,1.0,0.3188661613539612,precinct,True,True,True,True
3101,2306.0,969.0,508.0,634.0,17.0,0.0,140.0,9.0,5.0,9.0,2.0,13.0,0.0,0.4202081526452732,0.22029488291413704,0.27493495229835213,0.007372072853425846,0.0,0.060711188204683436,0.0039028620988725065,0.002168256721595837,0.0039028620988725065,0.0008673026886383347,0.005637467476149176,0.0,0.19991326973113618,0.6405030355594102,0.27493495229835213,Lean Dem,177.0,88.0,10.0,3.0,278.0,True,0.6366906474820144,0.31654676258992803,0.03597122302158273,0.01079136690647482,0.12055507372072853,89.0,0.32014388489208634,Splitt,Safe,0.2164824948367412,0.09625187967579099,0.0,0.24002601908065915,precinct,True,True,True,True
3301,1329.0,692.0,207.0,347.0,9.0,0.0,62.0,6.0,1.0,4.0,1.0,0.0,0.0,0.5206922498118887,0.15575620767494355,0.26109857035364936,0.006772009029345372,0.0,0.046651617757712566,0.004514672686230248,0.0007524454477050414,0.0030097817908201654,0.0007524454477050414,0.0,0.0,0.3649360421369451,0.6764484574868322,0.26109857035364936,Strong Dem,198.0,87.0,3.0,4.0,292.0,True,0.678082191780822,0.2979452054794521,0.010273972602739725,0.0136986301369863,0.2197140707298721,111.0,0.3801369863013699,Splitt,Safe,0.1573899419689333,0.14218899780450853,0.0,0.2716328066215199,precinct,True,True,True,True
3302,8805.0,4930.0,522.0,2736.0,42.0,6.0,393.0,39.0,20.0,47.0,25.0,44.0,1.0,0.5599091425326519,0.05928449744463373,0.310732538330494,0.004770017035775128,0.0006814310051107325,0.04463373083475298,0.004429301533219762,0.002271436683702442,0.005337876206700738,0.0028392958546280523,0.004997160704145372,0.00011357183418512209,0.5006246450880182,0.6191936399772856,0.310732538330494,Strong Dem,1314.0,416.0,32.0,13.0,1775.0,True,0.7402816901408451,0.2343661971830986,0.018028169014084508,0.007323943661971831,0.2015900056785917,898.0,0.5059154929577465,Splitt,Safe,0.1803725476081932,0.17508169973846485,0.0,0.291198182850653,precinct,True,True,True,True
3303,9533.0,4606.0,497.0,3599.0,64.0,8.0,467.0,54.0,56.0,54.0,43.0,85.0,0.0,0.48316374698416026,0.05213469002412672,0.37753068289101016,0.006713521451799014,0.0008391901814748768,0.04898772684359593,0.005664533724955418,0.005874331270324137,0.005664533724955418,0.004510647225427463,0.008916395678170565,0.0,0.4310290569600335,0.5352984370082869,0.37753068289101016,Strong Dem,1142.0,278.0,50.0,8.0,1478.0,True,0.7726657645466847,0.1880920162381597,0.03382949932341001,0.005412719891745603,0.1550403860274835,864.0,0.584573748308525,Splitt,Safe,0.2895020175625244,0.13595732621403298,0.0,0.3098709745095983,precinct,True,True,True,True
