precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP,candidate_greene,candidate_chase_miller,candidate_write_in,total_votes,votes_greene,votes_chase_miller,votes_write_in,votes_total,is_county_rollup,is_pps_precinct,is_non_pps_precinct,is_summary,record_type,has_voter_registration,has_election_results,is_complete_record,reg_pct_dem,reg_pct_rep,reg_pct_nav,reg_pct_oth,reg_pct_con,reg_pct_ind,reg_pct_lbt,reg_pct_nlb,reg_pct_pgp,reg_pct_pro,reg_pct_wfp,reg_pct_wtp,dem_advantage,major_party_pct,political_lean,turnout_rate,vote_pct_greene,vote_pct_chase_miller,vote_pct_write_in,vote_margin,margin_pct,leading_candidate,second_candidate,competitiveness,is_competitive,pps_total_votes,pps_vote_share,precinct_size,vote_pct_contribution_greene,vote_pct_contribution_chase_miller,vote_pct_contribution_write_in,vote_pct_contribution_total_votes
2801,8457.0,4940.0,546.0,2461.0,27.0,1.0,327.0,49.0,19.0,43.0,19.0,24.0,1.0,1213.0,1220.0,10.0,2443.0,1213,1220,10,2443,False,True,False,False,pps_precinct,True,True,True,58.41314887075795,6.456190138346932,29.100153718812816,0.31926214969847466,0.011824524062906468,3.8666193685704147,0.5794016790824169,0.2246659571952229,0.5084545347049781,0.2246659571952229,0.2837885775097552,0.011824524062906468,51.95695873241102,64.86933900910488,Strong Dem,28.8873122856805,49.65206713057716,49.93860008186656,0.4093327875562832,7,0.28653295128939826,Chase Miller,Greene,Toss-up,True,196611,1.2445236882322974,Extra Large,1.555746514640434,1.036683293253911,1.0427528675703857,1.2425550961034733
2802,1202.0,659.0,173.0,301.0,3.0,0.0,56.0,5.0,0.0,3.0,1.0,1.0,0.0,203.0,178.0,2.0,383.0,203,178,2,383,False,True,False,False,pps_precinct,True,True,True,54.82529118136439,14.392678868552414,25.041597337770384,0.24958402662229617,0.0,4.658901830282862,0.4159733777038269,0.0,0.24958402662229617,0.08319467554076539,0.08319467554076539,0.0,40.432612312811976,69.2179700499168,Strong Dem,31.863560732113143,53.00261096605744,46.47519582245431,0.5221932114882507,25,6.527415143603134,Greene,Chase Miller,Competitive,True,196611,0.19510952623535405,Medium,0.26035988662160603,0.15125379196655422,0.20855057351407716,0.194800901272055
2803,3465.0,1816.0,173.0,1216.0,11.0,3.0,155.0,20.0,20.0,23.0,19.0,9.0,0.0,285.0,368.0,4.0,657.0,285,368,4,657,False,True,False,False,pps_precinct,True,True,True,52.4098124098124,4.992784992784992,35.093795093795094,0.31746031746031744,0.08658008658008658,4.473304473304474,0.5772005772005772,0.5772005772005772,0.6637806637806638,0.5483405483405484,0.2597402597402597,0.0,47.41702741702741,57.402597402597394,Strong Dem,18.961038961038962,43.37899543378995,56.01217656012176,0.60882800608828,83,12.633181126331811,Chase Miller,Greene,Safe,False,196611,0.33469179826795725,Large,0.3655298900845208,0.31270446878478625,0.4171011470281543,0.33416238155545724
2804,7542.0,4410.0,729.0,1951.0,28.0,2.0,313.0,36.0,13.0,27.0,13.0,19.0,1.0,1194.0,1093.0,11.0,2298.0,1194,1093,11,2298,False,True,False,False,pps_precinct,True,True,True,58.47255369928401,9.665871121718377,25.86846990188279,0.37125430920180325,0.026518164942985947,4.1500928135773005,0.47732696897374705,0.17236807212940866,0.35799522673031026,0.17236807212940866,0.2519225669583665,0.013259082471492973,48.80668257756564,68.13842482100239,Strong Dem,30.46937151949085,51.958224543080945,47.563098346388166,0.4786771105308964,101,4.395126196692776,Greene,Chase Miller,Toss-up,True,196611,1.1706571574121243,Extra Large,1.531377855301466,0.9287662619069874,1.1470281543274243,1.1688054076323298
2805,9086.0,5325.0,919.0,2372.0,41.0,2.0,316.0,44.0,13.0,31.0,7.0,16.0,0.0,1237.0,1663.0,12.0,2912.0,1237,1663,12,2912,False,True,False,False,pps_precinct,True,True,True,58.60664758969843,10.114461809377064,26.10609729253797,0.45124367158265466,0.02201188641866608,3.4778780541492407,0.48426150121065376,0.1430772617213295,0.34118423948932425,0.07704160246533129,0.17609509134932863,0.0,48.49218578032137,68.7211093990755,Strong Dem,32.04930662557781,42.479395604395606,57.10851648351648,0.4120879120879121,426,14.62912087912088,Chase Miller,Greene,Safe,False,196611,1.4834437086092715,Extra Large,1.586527979068604,1.4131182923616834,1.251303441084463,1.4810971919170342
2806,9631.0,5600.0,650.0,2774.0,54.0,8.0,387.0,32.0,24.0,46.0,18.0,38.0,0.0,1242.0,1601.0,10.0,2853.0,1242,1601,10,2853,False,True,False,False,pps_precinct,True,True,True,58.14557159173502,6.749039559754958,28.80282421347731,0.5606894403488734,0.08306510227390718,4.018274322500259,0.3322604090956287,0.24919530682172153,0.47762433807496624,0.18689648011629115,0.3945592358010591,0.0,51.396532031980065,64.89461115148998,Strong Dem,29.623092098432146,43.53312302839117,56.116368734665265,0.3505082369435682,359,12.583245706274099,Chase Miller,Greene,Safe,False,196611,1.4533876719307182,Extra Large,1.5929407841578063,1.3604343872946816,1.0427528675703857,1.4510886979873965
3101,2306.0,969.0,508.0,634.0,17.0,0.0,140.0,9.0,5.0,9.0,2.0,13.0,0.0,133.0,161.0,1.0,295.0,133,161,1,295,False,True,False,False,pps_precinct,True,True,True,42.02081526452732,22.029488291413703,27.49349522983521,0.7372072853425846,0.0,6.071118820468343,0.39028620988725066,0.21682567215958368,0.39028620988725066,0.08673026886383348,0.5637467476149176,0.0,19.99132697311362,64.05030355594103,Lean Dem,12.792714657415438,45.08474576271186,54.57627118644067,0.3389830508474576,28,9.491525423728813,Chase Miller,Greene,Competitive,True,196611,0.15028018339276616,Medium,0.17058061537277636,0.136808205093344,0.10427528675703858,0.15004246964818857
3301,1329.0,692.0,207.0,347.0,9.0,0.0,62.0,6.0,1.0,4.0,1.0,0.0,0.0,141.0,162.0,2.0,305.0,141,162,2,305,False,True,False,False,pps_precinct,True,True,True,52.06922498118887,15.575620767494355,26.109857035364936,0.6772009029345373,0.0,4.6651617757712565,0.4514672686230248,0.07524454477050413,0.3009781790820165,0.07524454477050413,0.0,0.0,36.49360421369451,67.64484574868322,Strong Dem,22.94958615500376,46.22950819672131,53.11475409836065,0.6557377049180327,21,6.885245901639345,Chase Miller,Greene,Competitive,True,196611,0.1553744268976057,Medium,0.18084110351549973,0.13765794549765048,0.20855057351407716,0.15512865505999154
3302,8805.0,4930.0,522.0,2736.0,42.0,6.0,393.0,39.0,20.0,47.0,25.0,44.0,1.0,994.0,941.0,12.0,1947.0,994,941,12,1947,False,True,False,False,pps_precinct,True,True,True,55.99091425326519,5.928449744463373,31.073253833049403,0.4770017035775128,0.06814310051107325,4.463373083475298,0.44293015332197616,0.2271436683702442,0.5337876206700738,0.2839295854628052,0.4997160704145372,0.011357183418512209,50.06246450880182,61.91936399772856,Strong Dem,22.11243611584327,51.05290190035953,48.33076527991782,0.6163328197226503,53,2.7221366204417055,Greene,Chase Miller,Toss-up,True,196611,0.9918492103922568,Extra Large,1.2748656517333812,0.7996057204524019,1.251303441084463,0.9902802996780445
3303,9533.0,4606.0,497.0,3599.0,64.0,8.0,467.0,54.0,56.0,54.0,43.0,85.0,0.0,637.0,959.0,10.0,1606.0,637,959,10,1606,False,True,False,False,pps_precinct,True,True,True,48.31637469841603,5.213469002412672,37.753068289101016,0.6713521451799014,0.08391901814748767,4.898772684359593,0.5664533724955418,0.5874331270324137,0.5664533724955418,0.45106472254274627,0.8916395678170566,0.0,43.102905696003354,53.5298437008287,Strong Dem,16.846742893108154,39.663760896637605,59.71357409713575,0.62266500622665,322,20.049813200498132,Chase Miller,Greene,Safe,False,196611,0.8181355068772288,Extra Large,0.8169913683643498,0.8149010477299184,1.0427528675703857,0.8168413771355622
