precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP,candidate_galanakis,candidate_engelsman,candidate_crowe,candidate_mains,candidate_write_in,total_votes,votes_galanakis,votes_engelsman,votes_crowe,votes_mains,votes_write_in,votes_total,is_county_rollup,is_zone1_precinct,is_non_zone1_precinct,is_summary,record_type,has_voter_registration,has_election_results,is_complete_record,reg_pct_dem,reg_pct_rep,reg_pct_nav,reg_pct_oth,reg_pct_con,reg_pct_ind,reg_pct_lbt,reg_pct_nlb,reg_pct_pgp,reg_pct_pro,reg_pct_wfp,reg_pct_wtp,dem_advantage,major_party_pct,political_lean,turnout_rate,vote_pct_galanakis,vote_pct_engelsman,vote_pct_crowe,vote_pct_mains,vote_pct_write_in,vote_margin,margin_pct,leading_candidate,second_candidate,competitiveness,is_competitive,zone1_total_votes,zone1_vote_share,precinct_size,vote_pct_contribution_galanakis,vote_pct_contribution_engelsman,vote_pct_contribution_crowe,vote_pct_contribution_mains,vote_pct_contribution_write_in,vote_pct_contribution_total_votes
2801,8457.0,4940.0,546.0,2461.0,27.0,1.0,327.0,49.0,19.0,43.0,19.0,24.0,1.0,342.0,1962.0,95.0,35.0,9.0,2443.0,342,1962,95,35,9,2443,False,True,False,False,zone1_precinct,True,True,True,58.41314887075795,6.456190138346932,29.100153718812816,0.31926214969847466,0.011824524062906468,3.8666193685704147,0.5794016790824169,0.2246659571952229,0.5084545347049781,0.2246659571952229,0.2837885775097552,0.011824524062906468,51.95695873241102,64.86933900910488,Strong Dem,28.8873122856805,13.999181334424888,80.31109291854277,3.8886614817846907,1.4326647564469914,0.3683995088006549,1620,66.3119115841179,Engelsman,Galanakis,Safe,False,98339,2.4842636187067186,Extra Large,2.8858324192051303,2.445499756945743,2.199074074074074,2.3224950232249504,2.083333333333333,2.4842636187067186
2802,1202.0,659.0,173.0,301.0,3.0,0.0,56.0,5.0,0.0,3.0,1.0,1.0,0.0,56.0,302.0,16.0,5.0,1.0,380.0,56,302,16,5,1,380,False,True,False,False,zone1_precinct,True,True,True,54.82529118136439,14.392678868552414,25.041597337770384,0.24958402662229617,0.0,4.658901830282862,0.4159733777038269,0.0,0.24958402662229617,0.08319467554076539,0.08319467554076539,0.0,40.432612312811976,69.2179700499168,Strong Dem,31.61397670549085,14.736842105263156,79.47368421052632,4.2105263157894735,1.3157894736842104,0.2631578947368421,246,64.73684210526316,Engelsman,Galanakis,Safe,False,98339,0.3864184097865547,Medium,0.47253396337861786,0.3764224906205985,0.3703703703703704,0.33178500331785005,0.23148148148148145,0.3864184097865547
2803,3465.0,1816.0,173.0,1216.0,11.0,3.0,155.0,20.0,20.0,23.0,19.0,9.0,0.0,87.0,511.0,45.0,7.0,3.0,653.0,87,511,45,7,3,653,False,True,False,False,zone1_precinct,True,True,True,52.4098124098124,4.992784992784992,35.093795093795094,0.31746031746031744,0.08658008658008658,4.473304473304474,0.5772005772005772,0.5772005772005772,0.6637806637806638,0.5483405483405484,0.2597402597402597,0.0,47.41702741702741,57.402597402597394,Strong Dem,18.845598845598847,13.32312404287902,78.25421133231241,6.891271056661561,1.0719754977029097,0.45941807044410415,424,64.93108728943339,Engelsman,Galanakis,Safe,False,98339,0.6640295305016322,Large,0.7341152645346384,0.6369267970434631,1.0416666666666665,0.46449900464499,0.6944444444444444,0.6640295305016322
2804,7542.0,4410.0,729.0,1951.0,28.0,2.0,313.0,36.0,13.0,27.0,13.0,19.0,1.0,346.0,1849.0,60.0,31.0,10.0,2296.0,346,1849,60,31,10,2296,False,True,False,False,zone1_precinct,True,True,True,58.47255369928401,9.665871121718377,25.86846990188279,0.37125430920180325,0.026518164942985947,4.1500928135773005,0.47732696897374705,0.17236807212940866,0.35799522673031026,0.17236807212940866,0.2519225669583665,0.013259082471492973,48.80668257756564,68.13842482100239,Strong Dem,30.442853354547868,15.069686411149826,80.53135888501743,2.6132404181184667,1.3501742160278747,0.4355400696864111,1503,65.4616724738676,Engelsman,Galanakis,Safe,False,98339,2.334780707552446,Extra Large,2.919584845160746,2.304652930985055,1.3888888888888888,2.05706702057067,2.314814814814815,2.334780707552446
2805,9086.0,5325.0,919.0,2372.0,41.0,2.0,316.0,44.0,13.0,31.0,7.0,16.0,0.0,400.0,2361.0,91.0,34.0,11.0,2897.0,400,2361,91,34,11,2897,False,True,False,False,zone1_precinct,True,True,True,58.60664758969843,10.114461809377064,26.10609729253797,0.45124367158265466,0.02201188641866608,3.4778780541492407,0.48426150121065376,0.1430772617213295,0.34118423948932425,0.07704160246533129,0.17609509134932863,0.0,48.49218578032137,68.7211093990755,Strong Dem,31.884217477437815,13.807386952019328,81.4981014842941,3.1411805315843977,1.173627890921643,0.37970314118053156,1961,67.69071453227477,Engelsman,Galanakis,Safe,False,98339,2.9459319293464445,Extra Large,3.375242595561556,2.942826160116666,2.1064814814814814,2.2561380225613803,2.5462962962962963,2.9459319293464445
2806,9631.0,5600.0,650.0,2774.0,54.0,8.0,387.0,32.0,24.0,46.0,18.0,38.0,0.0,362.0,2322.0,116.0,31.0,10.0,2841.0,362,2322,116,31,10,2841,False,True,False,False,zone1_precinct,True,True,True,58.14557159173502,6.749039559754958,28.80282421347731,0.5606894403488734,0.08306510227390718,4.018274322500259,0.3322604090956287,0.24919530682172153,0.47762433807496624,0.18689648011629115,0.3945592358010591,0.0,51.396532031980065,64.89461115148998,Strong Dem,29.498494445021283,12.7419922562478,81.73178458289335,4.083069341781063,1.0911650827173531,0.3519887363604365,1960,68.98979232664556,Engelsman,Galanakis,Safe,False,98339,2.888986058430531,Extra Large,3.054594548983208,2.894215308678907,2.685185185185185,2.05706702057067,2.314814814814815,2.888986058430531
3101,2306.0,969.0,508.0,634.0,17.0,0.0,140.0,9.0,5.0,9.0,2.0,13.0,0.0,69.0,206.0,12.0,11.0,3.0,301.0,69,206,12,11,3,301,False,True,False,False,zone1_precinct,True,True,True,42.02081526452732,22.029488291413703,27.49349522983521,0.7372072853425846,0.0,6.071118820468343,0.39028620988725066,0.21682567215958368,0.39028620988725066,0.08673026886383348,0.5637467476149176,0.0,19.99132697311362,64.05030355594103,Lean Dem,13.052905464006939,22.92358803986711,68.43853820598007,3.9867109634551494,3.6544850498338874,0.9966777408637874,137,45.51495016611295,Engelsman,Galanakis,Safe,False,98339,0.3060840561730341,Medium,0.5822293477343684,0.2567650101584215,0.2777777777777778,0.7299270072992701,0.6944444444444444,0.3060840561730341
3301,1329.0,692.0,207.0,347.0,9.0,0.0,62.0,6.0,1.0,4.0,1.0,0.0,0.0,49.0,237.0,10.0,10.0,2.0,308.0,49,237,10,10,2,308,False,True,False,False,zone1_precinct,True,True,True,52.06922498118887,15.575620767494355,26.109857035364936,0.6772009029345373,0.0,4.6651617757712565,0.4514672686230248,0.07524454477050413,0.3009781790820165,0.07524454477050413,0.0,0.0,36.49360421369451,67.64484574868322,Strong Dem,23.175319789315274,15.909090909090908,76.94805194805194,3.2467532467532463,3.2467532467532463,0.6493506493506493,188,61.038961038961034,Engelsman,Galanakis,Safe,False,98339,0.31320229003752326,Medium,0.4134672179562906,0.2954044048909995,0.23148148148148145,0.6635700066357001,0.4629629629629629,0.31320229003752326
3302,8805.0,4930.0,522.0,2736.0,42.0,6.0,393.0,39.0,20.0,47.0,25.0,44.0,1.0,303.0,1510.0,99.0,25.0,13.0,1950.0,303,1510,99,25,13,1950,False,True,False,False,zone1_precinct,True,True,True,55.99091425326519,5.928449744463373,31.073253833049403,0.4770017035775128,0.06814310051107325,4.463373083475298,0.44293015332197616,0.2271436683702442,0.5337876206700738,0.2839295854628052,0.4997160704145372,0.011357183418512209,50.06246450880182,61.91936399772856,Strong Dem,22.14650766609881,15.538461538461537,77.43589743589745,5.076923076923077,1.282051282051282,0.6666666666666667,1207,61.89743589743589,Engelsman,Galanakis,Safe,False,98339,1.9829365765362674,Extra Large,2.556746266137879,1.8821124531029927,2.2916666666666665,1.6589250165892502,3.009259259259259,1.9829365765362674
3303,9533.0,4606.0,497.0,3599.0,64.0,8.0,467.0,54.0,56.0,54.0,43.0,85.0,0.0,214.0,1213.0,135.0,36.0,6.0,1604.0,214,1213,135,36,6,1604,False,True,False,False,zone1_precinct,True,True,True,48.31637469841603,5.213469002412672,37.753068289101016,0.6713521451799014,0.08391901814748767,4.898772684359593,0.5664533724955418,0.5874331270324137,0.5664533724955418,0.45106472254274627,0.8916395678170566,0.0,43.102905696003354,53.5298437008287,Strong Dem,16.82576313857128,13.341645885286782,75.62344139650872,8.41645885286783,2.2443890274314215,0.3740648379052369,999,62.28179551122195,Engelsman,Galanakis,Safe,False,98339,1.6310924455200888,Extra Large,1.8057547886254324,1.5119221229231325,3.125,2.3888520238885205,1.3888888888888888,1.6310924455200888
