precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP,candidate_sanchez_bautista,candidate_la_forte,candidate_write_in,total_votes,votes_sanchez_bautista,votes_la_forte,votes_write_in,votes_total,is_county_rollup,is_zone1_precinct,is_non_zone1_precinct,is_summary,record_type,has_voter_registration,has_election_results,is_complete_record,reg_pct_dem,reg_pct_rep,reg_pct_nav,reg_pct_oth,reg_pct_con,reg_pct_ind,reg_pct_lbt,reg_pct_nlb,reg_pct_pgp,reg_pct_pro,reg_pct_wfp,reg_pct_wtp,dem_advantage,major_party_pct,political_lean,turnout_rate,vote_pct_sanchez_bautista,vote_pct_la_forte,vote_pct_write_in,vote_margin,margin_pct,leading_candidate,second_candidate,competitiveness,is_competitive,zone1_total_votes,zone1_vote_share,precinct_size,vote_pct_contribution_sanchez_bautista,vote_pct_contribution_la_forte,vote_pct_contribution_write_in,vote_pct_contribution_total_votes
3401,828.0,408.0,76.0,292.0,5.0,0.0,42.0,1.0,0.0,3.0,1.0,0.0,0.0,76.0,120.0,1.0,197.0,76,120,1,197,False,True,False,False,zone1_precinct,True,True,True,49.275362318840585,9.178743961352657,35.26570048309179,0.6038647342995169,0.0,5.072463768115942,0.12077294685990338,0.0,0.36231884057971014,0.12077294685990338,0.0,0.0,40.09661835748793,58.454106280193244,Strong Dem,23.792270531400966,38.578680203045685,60.913705583756354,0.5076142131979695,44,22.33502538071066,La Forte,Sanchez Bautista,Safe,False,98423,0.20085234803531737,Small,0.15624357551087537,0.24303305249513932,0.24691358024691357,0.2001564674923544
3402,167.0,79.0,23.0,55.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,True,False,other_precinct,True,False,False,47.30538922155689,13.77245508982036,32.93413173652694,0.5988023952095809,0.0,5.389221556886228,0.0,0.0,0.0,0.0,0.0,0.0,33.532934131736525,61.07784431137725,Strong Dem,0.0,0.0,0.0,0.0,0,0.0,No Data,No Data,No Election Data,False,98423,0.0,Small,0.0,0.0,0.0,0.0
3801,1282.0,617.0,211.0,359.0,4.0,0.0,78.0,8.0,1.0,3.0,0.0,0.0,1.0,12.0,10.0,0.0,22.0,12,10,0,22,False,True,False,False,zone1_precinct,True,True,True,48.127925117004686,16.458658346333856,28.003120124804994,0.31201248049922,0.0,6.084243369734789,0.62402496099844,0.078003120124805,0.234009360374415,0.0,0.0,0.078003120124805,31.66926677067083,64.58658346333854,Strong Dem,1.71606864274571,54.54545454545454,45.45454545454545,0.0,2,9.090909090909092,Sanchez Bautista,La Forte,Competitive,True,98423,0.022430211455720724,Medium,0.024670038238559268,0.020252754374594947,0.0,0.02235249890777562
3802,2203.0,1110.0,342.0,596.0,11.0,0.0,115.0,9.0,5.0,8.0,3.0,4.0,0.0,198.0,322.0,1.0,521.0,198,322,1,521,False,True,False,False,zone1_precinct,True,True,True,50.385837494325926,15.524285065819338,27.054017249205632,0.49931911030413073,0.0,5.220154334997731,0.40853381752156154,0.22696323195642307,0.3631411711302769,0.13617793917385385,0.18157058556513844,0.0,34.861552428506585,65.91012256014527,Strong Dem,23.649568769859282,38.00383877159309,61.80422264875239,0.19193857965451055,124,23.80038387715931,La Forte,Sanchez Bautista,Safe,False,98423,0.5311881894741135,Medium,0.40705563093622793,0.6521386908619573,0.24691358024691357,0.5293478150432318
3803,8641.0,5070.0,864.0,2195.0,35.0,0.0,344.0,47.0,14.0,35.0,13.0,20.0,4.0,1072.0,1714.0,9.0,2795.0,1072,1714,9,2795,False,True,False,False,zone1_precinct,True,True,True,58.673764610577486,9.99884272653628,25.402152528642517,0.4050457123018169,0.0,3.981020715195001,0.5439185279481541,0.16201828492072676,0.4050457123018169,0.15044555028353201,0.2314546927438954,0.04629093854877908,48.674921884041204,68.67260733711376,Strong Dem,32.34579331095938,38.35420393559929,61.32379248658319,0.3220035778175313,642,22.9695885509839,La Forte,Sanchez Bautista,Safe,False,98423,2.849656409942701,Extra Large,2.203856749311295,3.471322099805574,2.2222222222222223,2.83978338396513
3804,3956.0,2056.0,411.0,1241.0,22.0,1.0,165.0,23.0,4.0,17.0,6.0,10.0,0.0,437.0,524.0,7.0,968.0,437,524,7,968,False,True,False,False,zone1_precinct,True,True,True,51.97168857431749,10.38928210313448,31.37007077856421,0.5561172901921132,0.02527805864509606,4.170879676440849,0.5813953488372093,0.10111223458038424,0.4297269969666329,0.15166835187057634,0.2527805864509606,0.0,41.582406471183006,62.360970677451974,Strong Dem,24.469160768452983,45.14462809917356,54.132231404958674,0.7231404958677686,87,8.987603305785125,La Forte,Sanchez Bautista,Competitive,True,98423,0.9869293040517119,Large,0.8984005591875334,1.061244329228775,1.728395061728395,0.9835099519421273
3805,7567.0,4109.0,660.0,2318.0,21.0,3.0,337.0,43.0,21.0,26.0,15.0,14.0,0.0,811.0,1132.0,8.0,1951.0,811,1132,8,1951,False,True,False,False,zone1_precinct,True,True,True,54.30157261794635,8.722082727633145,30.633011761596407,0.27752081406105455,0.03964583058015066,4.453548301836924,0.5682569049821594,0.27752081406105455,0.3435971983613057,0.19822915290075327,0.18501387604070307,0.0,45.579489890313205,63.02365534557949,Strong Dem,25.783005153957976,41.5684264479754,58.02152742183496,0.4100461301896463,321,16.45310097385956,La Forte,Sanchez Bautista,Safe,False,98423,1.9891519340959605,Extra Large,1.6672834176226305,2.292611795204148,1.9753086419753085,1.9822602440486472
3806,184.0,104.0,6.0,62.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,False,False,True,False,other_precinct,True,False,False,56.52173913043478,3.260869565217391,33.69565217391305,0.0,0.0,5.434782608695652,0.5434782608695652,0.5434782608695652,0.0,0.0,0.0,0.0,53.26086956521739,59.78260869565217,Strong Dem,0.0,0.0,0.0,0.0,0,0.0,No Data,No Data,No Election Data,False,98423,0.0,Small,0.0,0.0,0.0,0.0
4101,3213.0,2046.0,221.0,779.0,10.0,1.0,126.0,10.0,3.0,8.0,5.0,4.0,0.0,510.0,658.0,6.0,1174.0,510,658,6,1174,False,True,False,False,zone1_precinct,True,True,True,63.67880485527544,6.878306878306878,24.245253657018363,0.3112356053532524,0.031123560535325244,3.9215686274509802,0.3112356053532524,0.09337068160597572,0.24898848428260195,0.1556178026766262,0.12449424214130098,0.0,56.80049797696856,70.55711173358232,Strong Dem,36.539060068471834,43.441226575809196,56.04770017035775,0.5110732538330494,148,12.60647359454855,La Forte,Sanchez Bautista,Safe,False,98423,1.1969576476825514,Large,1.048476625138769,1.3326312378483474,1.4814814814814816,1.1928106235331173
4102,3480.0,2124.0,203.0,922.0,19.0,0.0,152.0,16.0,7.0,19.0,8.0,10.0,0.0,476.0,480.0,2.0,958.0,476,480,2,958,False,True,False,False,zone1_precinct,True,True,True,61.03448275862069,5.833333333333333,26.49425287356322,0.5459770114942528,0.0,4.3678160919540225,0.45977011494252873,0.20114942528735633,0.5459770114942528,0.22988505747126436,0.28735632183908044,0.0,55.201149425287355,66.86781609195403,Strong Dem,27.52873563218391,49.68684759916493,50.10438413361169,0.20876826722338201,4,0.41753653444676403,La Forte,Sanchez Bautista,Toss-up,True,98423,0.9767337533900207,Large,0.9785781834628511,0.9721322099805573,0.49382716049382713,0.9733497251658656
4103,4057.0,2576.0,319.0,928.0,17.0,1.0,164.0,8.0,5.0,22.0,7.0,10.0,0.0,581.0,958.0,8.0,1547.0,581,958,8,1547,False,True,False,False,zone1_precinct,True,True,True,63.49519349272862,7.862952920877496,22.874044860734532,0.41902883904362825,0.024648755237860486,4.04239585900912,0.1971900419028839,0.12324377618930245,0.5422726152329307,0.1725412866650234,0.2464875523786049,0.0,55.63224057185112,71.35814641360611,Strong Dem,38.13162435297017,37.55656108597285,61.926308985132515,0.5171299288946347,377,24.369747899159663,La Forte,Sanchez Bautista,Safe,False,98423,1.5772516873636344,Large,1.1944410180502447,1.9402138690861956,1.9753086419753085,1.5717870822876765
4104,6139.0,3741.0,353.0,1653.0,44.0,7.0,225.0,19.0,12.0,29.0,19.0,37.0,0.0,1072.0,917.0,7.0,1996.0,1072,917,7,1996,False,True,False,False,zone1_precinct,True,True,True,60.93826356084053,5.750122169734484,26.926209480371394,0.7167291089754032,0.11402508551881414,3.6650920345333113,0.30949666069392406,0.19547157517510994,0.47238964000651573,0.30949666069392406,0.602704023456589,0.0,55.18814139110605,66.68838573057502,Strong Dem,32.513438670793285,53.707414829659314,45.94188376753507,0.35070140280561124,155,7.765531062124248,Sanchez Bautista,La Forte,Competitive,True,98423,2.0350319120735714,Extra Large,2.203856749311295,1.8571775761503564,1.728395061728395,2.0279812645418245
4105,7445.0,4753.0,340.0,1943.0,39.0,0.0,262.0,23.0,15.0,30.0,21.0,19.0,0.0,1120.0,1253.0,10.0,2383.0,1120,1253,10,2383,False,True,False,False,zone1_precinct,True,True,True,63.84150436534587,4.5668233713901945,26.09805238415044,0.5238415043653459,0.0,3.519140362659503,0.30893216924110145,0.20147750167897915,0.4029550033579583,0.28206850235057085,0.2552048354600403,0.0,59.27468099395568,68.40832773673607,Strong Dem,32.00805910006716,46.99958036088964,52.58078052874527,0.41963911036508605,133,5.581200167855644,La Forte,Sanchez Bautista,Competitive,True,98423,2.4295997226810218,Extra Large,2.302536902265532,2.5376701231367464,2.4691358024691357,2.42118204078315
4201,6474.0,3739.0,215.0,2097.0,33.0,3.0,218.0,34.0,16.0,46.0,35.0,38.0,0.0,900.0,606.0,1.0,1507.0,900,606,1,1507,False,True,False,False,zone1_precinct,True,True,True,57.75409329626196,3.3209762125424778,32.39110287303058,0.5097312326227988,0.04633920296570899,3.3673154155081866,0.5251776336113685,0.2471424158171146,0.7105344454742045,0.5406240345999382,0.5869632375656472,0.0,54.43311708371949,61.07506950880444,Strong Dem,23.277726289774485,59.721300597213,40.212342402123426,0.06635700066357,294,19.508958195089583,Sanchez Bautista,La Forte,Safe,False,98423,1.5364694847168696,Extra Large,1.8502528678919452,1.2273169151004537,0.24691358024691357,1.53114617518263
