precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP,candidate_splitt,candidate_cavagnolo,candidate_leof,candidate_write_in,total_votes,votes_splitt,votes_cavagnolo,votes_leof,votes_write_in,votes_total,is_summary,is_zone1_precinct,is_non_zone1_precinct,record_type,has_voter_registration,has_election_results,is_complete_record,reg_pct_dem,reg_pct_rep,reg_pct_nav,reg_pct_oth,reg_pct_con,reg_pct_ind,reg_pct_lbt,reg_pct_nlb,reg_pct_pgp,reg_pct_pro,reg_pct_wfp,reg_pct_wtp,dem_advantage,major_party_pct,political_lean,turnout_rate,vote_pct_splitt,vote_pct_cavagnolo,vote_pct_leof,vote_pct_write_in,vote_margin,margin_pct,leading_candidate,second_candidate,competitiveness,is_competitive,zone1_total_votes,zone1_vote_share,precinct_size
2801,8457.0,4940.0,546.0,2461.0,27.0,1.0,327.0,49.0,19.0,43.0,19.0,24.0,1.0,1915.0,528.0,31.0,9.0,2483.0,1915,528,31,9,2483,False,True,False,zone1_precinct,True,True,True,0.5841314887075795,0.06456190138346932,0.29100153718812816,0.0031926214969847464,0.00011824524062906468,0.03866619368570415,0.005794016790824169,0.002246659571952229,0.0050845453470497815,0.002246659571952229,0.002837885775097552,0.00011824524062906468,0.5195695873241102,0.6486933900910488,Strong Dem,0.2936029324819676,0.7712444623439387,0.21264599275070478,0.012484897301651228,0.003624647603705195,1387,0.558598469593234,Splitt,Cavagnolo,Safe,False,98056,2.53222648282614,Extra Large
2802,1202.0,659.0,173.0,301.0,3.0,0.0,56.0,5.0,0.0,3.0,1.0,1.0,0.0,283.0,96.0,3.0,0.0,382.0,283,96,3,0,382,False,True,False,zone1_precinct,True,True,True,0.5482529118136439,0.14392678868552414,0.2504159733777038,0.0024958402662229617,0.0,0.04658901830282862,0.004159733777038269,0.0,0.0024958402662229617,0.0008319467554076539,0.0008319467554076539,0.0,0.4043261231281198,0.692179700499168,Strong Dem,0.3178036605657238,0.7408376963350786,0.2513089005235602,0.007853403141361256,0.0,187,0.4895287958115183,Splitt,Cavagnolo,Safe,False,98056,0.3895733050501754,Medium
2803,3465.0,1816.0,173.0,1216.0,11.0,3.0,155.0,20.0,20.0,23.0,19.0,9.0,0.0,508.0,137.0,13.0,4.0,662.0,508,137,13,4,662,False,True,False,zone1_precinct,True,True,True,0.5240981240981241,0.049927849927849925,0.35093795093795094,0.0031746031746031746,0.0008658008658008658,0.044733044733044736,0.005772005772005772,0.005772005772005772,0.006637806637806638,0.005483405483405483,0.0025974025974025974,0.0,0.47417027417027413,0.574025974025974,Strong Dem,0.19105339105339106,0.7673716012084593,0.20694864048338368,0.019637462235649546,0.006042296072507553,371,0.5604229607250756,Splitt,Cavagnolo,Safe,False,98056,0.6751244186995187,Large
2804,7542.0,4410.0,729.0,1951.0,28.0,2.0,313.0,36.0,13.0,27.0,13.0,19.0,1.0,1722.0,584.0,26.0,11.0,2343.0,1722,584,26,11,2343,False,True,False,zone1_precinct,True,True,True,0.5847255369928401,0.09665871121718377,0.2586846990188279,0.0037125430920180325,0.00026518164942985947,0.041500928135773,0.00477326968973747,0.0017236807212940865,0.003579952267303103,0.0017236807212940865,0.002519225669583665,0.00013259082471492973,0.48806682577565635,0.6813842482100239,Strong Dem,0.31066030230708036,0.734955185659411,0.24925309432351686,0.011096884336320957,0.004694835680751174,1138,0.48570209133589415,Splitt,Cavagnolo,Safe,False,98056,2.3894509260014685,Extra Large
2805,9086.0,5325.0,919.0,2372.0,41.0,2.0,316.0,44.0,13.0,31.0,7.0,16.0,0.0,2401.0,544.0,39.0,9.0,2993.0,2401,544,39,9,2993,False,True,False,zone1_precinct,True,True,True,0.5860664758969844,0.10114461809377064,0.2610609729253797,0.004512436715826546,0.00022011886418666079,0.03477878054149241,0.004842615012106538,0.001430772617213295,0.0034118423948932422,0.0007704160246533128,0.0017609509134932863,0.0,0.48492185780321373,0.687211093990755,Strong Dem,0.3294078802553379,0.8022051453391246,0.18175743401269628,0.013030404276645506,0.003007016371533578,1857,0.6204477113264283,Splitt,Cavagnolo,Safe,False,98056,3.052337439830301,Extra Large
2806,9631.0,5600.0,650.0,2774.0,54.0,8.0,387.0,32.0,24.0,46.0,18.0,38.0,0.0,2371.0,475.0,36.0,11.0,2893.0,2371,475,36,11,2893,False,True,False,zone1_precinct,True,True,True,0.5814557159173502,0.06749039559754957,0.2880282421347731,0.005606894403488734,0.0008306510227390718,0.04018274322500259,0.003322604090956287,0.002491953068217215,0.004776243380749662,0.0018689648011629115,0.003945592358010591,0.0,0.5139653203198007,0.6489461115148998,Strong Dem,0.3003841760980168,0.8195644659522987,0.16418942274455584,0.01244382993432423,0.0038022813688212928,1896,0.6553750432077429,Splitt,Cavagnolo,Safe,False,98056,2.95035489924125,Extra Large
3101,2306.0,969.0,508.0,634.0,17.0,0.0,140.0,9.0,5.0,9.0,2.0,13.0,0.0,191.0,97.0,11.0,2.0,301.0,191,97,11,2,301,False,True,False,zone1_precinct,True,True,True,0.4202081526452732,0.22029488291413704,0.27493495229835213,0.007372072853425846,0.0,0.060711188204683436,0.0039028620988725065,0.002168256721595837,0.0039028620988725065,0.0008673026886383347,0.005637467476149176,0.0,0.19991326973113618,0.6405030355594102,Lean Dem,0.1305290546400694,0.6345514950166113,0.3222591362126246,0.036544850498338874,0.006644518272425249,94,0.3122923588039867,Splitt,Cavagnolo,Safe,False,98056,0.306967447173044,Medium
3301,1329.0,692.0,207.0,347.0,9.0,0.0,62.0,6.0,1.0,4.0,1.0,0.0,0.0,221.0,92.0,3.0,2.0,318.0,221,92,3,2,318,False,True,False,zone1_precinct,True,True,True,0.5206922498118887,0.15575620767494355,0.26109857035364936,0.006772009029345372,0.0,0.046651617757712566,0.004514672686230248,0.0007524454477050414,0.0030097817908201654,0.0007524454477050414,0.0,0.0,0.3649360421369451,0.6764484574868322,Strong Dem,0.23927765237020315,0.6949685534591195,0.2893081761006289,0.009433962264150943,0.006289308176100629,129,0.4056603773584906,Splitt,Cavagnolo,Safe,False,98056,0.32430447907318266,Medium
3302,8805.0,4930.0,522.0,2736.0,42.0,6.0,393.0,39.0,20.0,47.0,25.0,44.0,1.0,1466.0,448.0,34.0,9.0,1957.0,1466,448,34,9,1957,False,True,False,zone1_precinct,True,True,True,0.5599091425326519,0.05928449744463373,0.310732538330494,0.004770017035775128,0.0006814310051107325,0.04463373083475298,0.004429301533219762,0.002271436683702442,0.005337876206700738,0.0028392958546280523,0.004997160704145372,0.00011357183418512209,0.5006246450880182,0.6191936399772856,Strong Dem,0.22226007950028392,0.7491057741440981,0.228921819110884,0.017373530914665303,0.004598875830352581,1018,0.5201839550332141,Splitt,Cavagnolo,Safe,False,98056,1.9957983193277309,Extra Large
3303,9533.0,4606.0,497.0,3599.0,64.0,8.0,467.0,54.0,56.0,54.0,43.0,85.0,0.0,1263.0,290.0,53.0,8.0,1614.0,1263,290,53,8,1614,False,True,False,zone1_precinct,True,True,True,0.48316374698416026,0.05213469002412672,0.37753068289101016,0.006713521451799014,0.0008391901814748768,0.04898772684359593,0.005664533724955418,0.005874331270324137,0.005664533724955418,0.004510647225427463,0.008916395678170565,0.0,0.4310290569600335,0.5352984370082869,Strong Dem,0.16930661911255637,0.7825278810408922,0.17967781908302355,0.03283767038413878,0.004956629491945477,973,0.6028500619578686,Splitt,Cavagnolo,Safe,False,98056,1.6459982051072857,Extra Large
