School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2010-2011,OREGON,4101740,Burnt River SD 30J,,,583,Mathematics,GE80,16,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101740,Burnt River SD 30J,,,584,Reading/Language Arts,GE80,16,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102580,Butte Falls SD 91,,,583,Mathematics,35-39,73,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102580,Butte Falls SD 91,,,584,Reading/Language Arts,45-49,74,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102610,Camas Valley SD 21J,,,583,Mathematics,35-39,82,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102610,Camas Valley SD 21J,,,584,Reading/Language Arts,75-79,83,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102640,Canby SD 86,,,583,Mathematics,65,2640,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102640,Canby SD 86,,,584,Reading/Language Arts,80,2634,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102780,Cascade SD 5,,,583,Mathematics,55,1207,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102780,Cascade SD 5,,,584,Reading/Language Arts,77,1203,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102800,Centennial SD 28J,,,583,Mathematics,53,3481,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102800,Centennial SD 28J,,,584,Reading/Language Arts,74,3441,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105760,Central Curry SD 1,,,583,Mathematics,58,295,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105760,Central Curry SD 1,,,584,Reading/Language Arts,77,295,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102910,Central Linn SD 552,,,583,Mathematics,48,384,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102910,Central Linn SD 552,,,584,Reading/Language Arts,74,385,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102940,Central Point SD 6,,,583,Mathematics,57,2412,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102940,Central Point SD 6,,,584,Reading/Language Arts,78,2420,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102840,Central SD 13J,,,583,Mathematics,52,1554,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102840,Central SD 13J,,,584,Reading/Language Arts,73,1552,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103260,Clatskanie SD 6J,,,583,Mathematics,53,417,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103260,Clatskanie SD 6J,,,584,Reading/Language Arts,81,417,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103270,Colton SD 53,,,583,Mathematics,62,333,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103270,Colton SD 53,,,584,Reading/Language Arts,84,333,,All Students,All Students,,All Grades,Reading/Language Arts,,
