School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2012-2013,OREGON,4108820,North Bend SD 13,,,584,Reading/Language Arts,65,2218,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4108830,North Clackamas SD 12,,,583,Mathematics,66,9009,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4108830,North Clackamas SD 12,,,584,Reading/Language Arts,72,8980,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4104350,North Douglas SD 22,,,583,Mathematics,70-74,180,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4104350,North Douglas SD 22,,,584,Reading/Language Arts,75-79,180,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111400,North Lake SD 14,,,583,Mathematics,40-44,122,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111400,North Lake SD 14,,,584,Reading/Language Arts,55-59,122,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4108880,North Marion SD 15,,,583,Mathematics,46,1001,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4108880,North Marion SD 15,,,584,Reading/Language Arts,60,998,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4108940,North Powder SD 8J,,,583,Mathematics,50-54,166,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4108940,North Powder SD 8J,,,584,Reading/Language Arts,60-64,166,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100020,North Santiam SD 29J,,,583,Mathematics,64,1254,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100020,North Santiam SD 29J,,,584,Reading/Language Arts,74,1250,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100048,North Wasco County SD 21,,,583,Mathematics,52,1588,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100048,North Wasco County SD 21,,,584,Reading/Language Arts,66,1590,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109000,Nyssa SD 26,,,583,Mathematics,50,609,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109000,Nyssa SD 26,,,584,Reading/Language Arts,63,594,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109120,Oakland SD 1,,,583,Mathematics,68,279,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109120,Oakland SD 1,,,584,Reading/Language Arts,78,279,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109150,Oakridge SD 76,,,583,Mathematics,48,262,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109150,Oakridge SD 76,,,584,Reading/Language Arts,64,262,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100049,ODE LTCT District,,,583,Mathematics,10-14,140,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100049,ODE LTCT District,,,584,Reading/Language Arts,35-39,149,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100043,ODE YCEP District,,,583,Mathematics,15-19,113,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100043,ODE YCEP District,,,584,Reading/Language Arts,55-59,119,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109270,Ontario SD 8C,,,583,Mathematics,55,1214,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109270,Ontario SD 8C,,,584,Reading/Language Arts,59,1208,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109330,Oregon City SD 62,,,583,Mathematics,69,4311,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109330,Oregon City SD 62,,,584,Reading/Language Arts,77,4304,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100009,Oregon Department of Education,,,583,Mathematics,50,458,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100009,Oregon Department of Education,,,584,Reading/Language Arts,63,458,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110890,Oregon Trail SD 46,,,583,Mathematics,60,2216,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110890,Oregon Trail SD 46,,,584,Reading/Language Arts,70,2218,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109430,Paisley SD 11,,,583,Mathematics,60-64,121,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109430,Paisley SD 11,,,584,Reading/Language Arts,85-89,121,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109480,Parkrose SD 3,,,583,Mathematics,50,1775,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109480,Parkrose SD 3,,,584,Reading/Language Arts,61,1757,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109510,Pendleton SD 16,,,583,Mathematics,60,1739,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109510,Pendleton SD 16,,,584,Reading/Language Arts,71,1738,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109530,Perrydale SD 21,,,583,Mathematics,60-64,176,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109530,Perrydale SD 21,,,584,Reading/Language Arts,80-84,176,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109600,Philomath SD 17J,,,583,Mathematics,64,884,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109600,Philomath SD 17J,,,584,Reading/Language Arts,72,883,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109630,Phoenix-Talent SD 4,,,583,Mathematics,56,1452,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109630,Phoenix-Talent SD 4,,,584,Reading/Language Arts,70,1444,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109660,Pilot Rock SD 2,,,583,Mathematics,60-64,170,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109660,Pilot Rock SD 2,,,584,Reading/Language Arts,70-74,168,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109690,Pine Creek SD 5,,,583,Mathematics,PS,4,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109690,Pine Creek SD 5,,,584,Reading/Language Arts,PS,4,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109720,Pine Eagle SD 61,,,583,Mathematics,55-59,112,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109720,Pine Eagle SD 61,,,584,Reading/Language Arts,70-74,112,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109750,Pinehurst SD 94,,,583,Mathematics,GE80,21,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109750,Pinehurst SD 94,,,584,Reading/Language Arts,GE80,21,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109870,Pleasant Hill SD 1,,,583,Mathematics,63,483,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109870,Pleasant Hill SD 1,,,584,Reading/Language Arts,76,485,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4109960,Plush SD 18,,,583,Mathematics,PS,1,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4109960,Plush SD 18,,,584,Reading/Language Arts,PS,1,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110020,Port Orford-Langlois SD 2CJ,,,583,Mathematics,50-54,125,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110020,Port Orford-Langlois SD 2CJ,,,584,Reading/Language Arts,70-74,125,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110040,Portland SD 1J,,,583,Mathematics,67,24023,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110040,Portland SD 1J,,,584,Reading/Language Arts,75,23992,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110080,Powers SD 31,,,583,Mathematics,50-54,65,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110080,Powers SD 31,,,584,Reading/Language Arts,65-69,65,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110110,Prairie City SD 4,,,583,Mathematics,65-69,81,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110110,Prairie City SD 4,,,584,Reading/Language Arts,70-74,81,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110200,Prospect SD 59,,,583,Mathematics,30-34,121,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110200,Prospect SD 59,,,584,Reading/Language Arts,55-59,122,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4103265,Rainier SD 13,,,583,Mathematics,52,548,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4103265,Rainier SD 13,,,584,Reading/Language Arts,66,549,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110350,Redmond SD 2J,,,583,Mathematics,62,3580,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110350,Redmond SD 2J,,,584,Reading/Language Arts,71,3572,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110410,Reedsport SD 105,,,583,Mathematics,37,316,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110410,Reedsport SD 105,,,584,Reading/Language Arts,52,314,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110520,Reynolds SD 7,,,583,Mathematics,43,5967,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110520,Reynolds SD 7,,,584,Reading/Language Arts,55,5931,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110530,Riddle SD 70,,,583,Mathematics,43,220,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110530,Riddle SD 70,,,584,Reading/Language Arts,64,219,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110560,Riverdale SD 51J,,,583,Mathematics,83,300,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110560,Riverdale SD 51J,,,584,Reading/Language Arts,88,300,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110680,Rogue River SD 35,,,583,Mathematics,39,476,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110680,Rogue River SD 35,,,584,Reading/Language Arts,61,478,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110820,Salem-Keizer SD 24J,,,583,Mathematics,64,20980,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110820,Salem-Keizer SD 24J,,,584,Reading/Language Arts,68,20869,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4108100,Santiam Canyon SD 129J,,,583,Mathematics,43,297,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4108100,Santiam Canyon SD 129J,,,584,Reading/Language Arts,58,297,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4110980,Scappoose SD 1J,,,583,Mathematics,61,1253,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4110980,Scappoose SD 1J,,,584,Reading/Language Arts,74,1254,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111040,Scio SD 95,,,583,Mathematics,52,2216,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111040,Scio SD 95,,,584,Reading/Language Arts,74,2217,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111100,Seaside SD 10,,,583,Mathematics,52,789,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111100,Seaside SD 10,,,584,Reading/Language Arts,75,786,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111220,Sheridan SD 48J,,,583,Mathematics,35,585,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111220,Sheridan SD 48J,,,584,Reading/Language Arts,55,584,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111250,Sherman County SD,,,583,Mathematics,65-69,122,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111250,Sherman County SD,,,584,Reading/Language Arts,75-79,122,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111290,Sherwood SD 88J,,,583,Mathematics,80,2788,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111290,Sherwood SD 88J,,,584,Reading/Language Arts,87,2793,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111450,Silver Falls SD 4J,,,583,Mathematics,69,2033,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111450,Silver Falls SD 4J,,,584,Reading/Language Arts,77,2025,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111490,Sisters SD 6,,,583,Mathematics,73,599,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111490,Sisters SD 6,,,584,Reading/Language Arts,87,598,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4105100,Siuslaw SD 97J,,,583,Mathematics,58,679,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4105100,Siuslaw SD 97J,,,584,Reading/Language Arts,73,670,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4105020,South Harney SD 33,,,583,Mathematics,GE50,10,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4105020,South Harney SD 33,,,584,Reading/Language Arts,GE50,10,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111580,South Lane SD 45J3,,,583,Mathematics,61,1454,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111580,South Lane SD 45J3,,,584,Reading/Language Arts,72,1437,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111610,South Umpqua SD 19,,,583,Mathematics,50,766,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111610,South Umpqua SD 19,,,584,Reading/Language Arts,60,756,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100021,South Wasco County SD 1,,,583,Mathematics,50-54,120,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100021,South Wasco County SD 1,,,584,Reading/Language Arts,65-69,120,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111640,Spray SD 1,,,583,Mathematics,GE50,11,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111640,Spray SD 1,,,584,Reading/Language Arts,GE50,11,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111670,Springfield SD 19,,,583,Mathematics,56,5654,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111670,Springfield SD 19,,,584,Reading/Language Arts,70,5641,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111720,St Helens SD 502,,,583,Mathematics,61,1780,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111720,St Helens SD 502,,,584,Reading/Language Arts,74,1776,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111760,St Paul SD 45,,,583,Mathematics,50-54,147,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111760,St Paul SD 45,,,584,Reading/Language Arts,70-74,151,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111790,Stanfield SD 61,,,583,Mathematics,58,265,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111790,Stanfield SD 61,,,584,Reading/Language Arts,69,264,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111910,Suntex SD 10,,,583,Mathematics,GE50,9,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111910,Suntex SD 10,,,584,Reading/Language Arts,GE50,9,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111940,Sutherlin SD 130,,,583,Mathematics,62,680,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111940,Sutherlin SD 130,,,584,Reading/Language Arts,74,688,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4111970,Sweet Home SD 55,,,583,Mathematics,61,1220,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4111970,Sweet Home SD 55,,,584,Reading/Language Arts,68,1227,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4106900,Three Rivers/Josephine County SD,,,583,Mathematics,61,2555,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4106900,Three Rivers/Josephine County SD,,,584,Reading/Language Arts,75,2554,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112240,Tigard-Tualatin SD 23J,,,583,Mathematics,68,6717,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112240,Tigard-Tualatin SD 23J,,,584,Reading/Language Arts,79,6660,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112320,Tillamook SD 9,,,583,Mathematics,60,994,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112320,Tillamook SD 9,,,584,Reading/Language Arts,68,986,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112360,Troy SD 54,,,583,Mathematics,PS,2,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112360,Troy SD 54,,,584,Reading/Language Arts,PS,2,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112540,Ukiah SD 80R,,,583,Mathematics,LT50,12,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112540,Ukiah SD 80R,,,584,Reading/Language Arts,GE50,12,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112600,Umatilla SD 6R,,,583,Mathematics,34,680,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112600,Umatilla SD 6R,,,584,Reading/Language Arts,55,677,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112690,Union SD 5,,,583,Mathematics,50-54,189,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112690,Union SD 5,,,584,Reading/Language Arts,65-69,190,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100014,Vale SD 84,,,583,Mathematics,61,506,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100014,Vale SD 84,,,584,Reading/Language Arts,70,504,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112930,Vernonia SD 47J,,,583,Mathematics,50,303,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112930,Vernonia SD 47J,,,584,Reading/Language Arts,70,303,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4112990,Wallowa SD 12,,,583,Mathematics,60-64,123,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4112990,Wallowa SD 12,,,584,Reading/Language Arts,70-74,123,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4113080,Warrenton-Hammond SD 30,,,583,Mathematics,53,464,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4113080,Warrenton-Hammond SD 30,,,584,Reading/Language Arts,64,464,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4113170,West Linn-Wilsonville SD 3J,,,583,Mathematics,75,4797,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4113170,West Linn-Wilsonville SD 3J,,,584,Reading/Language Arts,83,4789,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4113350,Willamina SD 30J,,,583,Mathematics,51,433,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4113350,Willamina SD 30J,,,584,Reading/Language Arts,56,430,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4113490,Winston-Dillard SD 116,,,583,Mathematics,59,794,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4113490,Winston-Dillard SD 116,,,584,Reading/Language Arts,67,796,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4113530,Woodburn SD 103,,,583,Mathematics,41,2853,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4113530,Woodburn SD 103,,,584,Reading/Language Arts,47,2823,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4100016,Yamhill Carlton SD 1,,,583,Mathematics,59,594,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4100016,Yamhill Carlton SD 1,,,584,Reading/Language Arts,78,584,,All Students,All Students,,All Grades,Reading/Language Arts,,
2012-2013,OREGON,4113650,Yoncalla SD 32,,,583,Mathematics,35-39,158,,All Students,All Students,,All Grades,Mathematics,,
2012-2013,OREGON,4113650,Yoncalla SD 32,,,584,Reading/Language Arts,55-59,157,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4100990,Adel SD 21,,,583,Mathematics,GE50,7,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4100990,Adel SD 21,,,584,Reading/Language Arts,GE50,7,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101020,Adrian SD 61,,,583,Mathematics,80-84,128,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101020,Adrian SD 61,,,584,Reading/Language Arts,75-79,126,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101200,Alsea SD 7J,,,583,Mathematics,50-54,74,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101200,Alsea SD 7J,,,584,Reading/Language Arts,60-64,75,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101230,Amity SD 4J,,,583,Mathematics,49,469,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101230,Amity SD 4J,,,584,Reading/Language Arts,68,404,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101350,Annex SD 29,,,583,Mathematics,20-29,36,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101350,Annex SD 29,,,584,Reading/Language Arts,40-49,35,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101470,Arlington SD 3,,,583,Mathematics,55-59,75,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101470,Arlington SD 3,,,584,Reading/Language Arts,70-74,75,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101500,Arock SD 81,,,583,Mathematics,GE50,6,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101500,Arock SD 81,,,584,Reading/Language Arts,GE50,6,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101560,Ashland SD 5,,,583,Mathematics,79,1452,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101560,Ashland SD 5,,,584,Reading/Language Arts,87,1445,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101590,Ashwood SD 8,,,583,Mathematics,PS,1,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101590,Ashwood SD 8,,,584,Reading/Language Arts,PS,1,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101620,Astoria SD 1,,,583,Mathematics,70,942,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101620,Astoria SD 1,,,584,Reading/Language Arts,79,940,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101660,Athena-Weston SD 29RJ,,,583,Mathematics,40-44,160,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101660,Athena-Weston SD 29RJ,,,584,Reading/Language Arts,70-74,159,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101710,Baker SD 5J,,,583,Mathematics,59,724,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101710,Baker SD 5J,,,584,Reading/Language Arts,79,725,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101800,Bandon SD 54,,,583,Mathematics,72,389,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101800,Bandon SD 54,,,584,Reading/Language Arts,82,390,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101830,Banks SD 13,,,583,Mathematics,64,628,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101830,Banks SD 13,,,584,Reading/Language Arts,73,628,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101920,Beaverton SD 48J,,,583,Mathematics,74,19679,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101920,Beaverton SD 48J,,,584,Reading/Language Arts,77,20348,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101980,Bend-LaPine Administrative SD 1,,,583,Mathematics,71,8172,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101980,Bend-LaPine Administrative SD 1,,,584,Reading/Language Arts,80,7843,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4102040,Bethel SD 52,,,583,Mathematics,60,2949,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4102040,Bethel SD 52,,,584,Reading/Language Arts,71,2880,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4102160,Blachly SD 90,,,583,Mathematics,60-64,128,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4102160,Blachly SD 90,,,584,Reading/Language Arts,75-79,128,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4102190,Black Butte SD 41,,,583,Mathematics,60-79,21,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4102190,Black Butte SD 41,,,584,Reading/Language Arts,GE80,21,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4102310,Brookings-Harbor SD 17C,,,583,Mathematics,57,609,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4102310,Brookings-Harbor SD 17C,,,584,Reading/Language Arts,66,608,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4101740,Burnt River SD 30J,,,583,Mathematics,GE50,10,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4101740,Burnt River SD 30J,,,584,Reading/Language Arts,GE50,10,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4102580,Butte Falls SD 91,,,583,Mathematics,21-39,20,,All Students,All Students,,All Grades,Mathematics,,
2013-2014,OREGON,4102580,Butte Falls SD 91,,,584,Reading/Language Arts,40-49,33,,All Students,All Students,,All Grades,Reading/Language Arts,,
2013-2014,OREGON,4102610,Camas Valley SD 21J,,,583,Mathematics,50-54,106,,All Students,All Students,,All Grades,Mathematics,,
