precinct,county,row_type,is_summary,cnt_christy_splitt,cnt_ken_cavagnolo,cnt_anton_d_leof,cnt_writein,cnt_total_votes,cnt_total_voters,cnt_total_voters_pps,rat_covered_pps,rat_turnout,rat_vote_share
4703,multnomah,precinct,False,0,0,0,0,0,7097,0,0,0,0
4704,multnomah,precinct,False,0,0,0,0,0,5634,0,0,0,0
4705,multnomah,precinct,False,0,0,0,0,0,4493,0,0,0,0
4706,multnomah,precinct,False,0,0,0,0,0,3920,0,0,0,0
4707,multnomah,precinct,False,0,0,0,0,0,8197,0,0,0,0
4708,multnomah,precinct,False,0,0,0,0,0,8241,0,0,0,0
4709,multnomah,precinct,False,0,0,0,0,0,1591,0,0,0,0
4710,multnomah,precinct,False,0,0,0,0,0,2102,0,0,0,0
4801,multnomah,precinct,False,38,19,4,1,62,983,983,1,0.0631,0.00082695334382586
4802,multnomah,precinct,False,0,0,0,0,0,7673,0,0,0,0
4803,multnomah,precinct,False,0,0,0,0,0,4988,0,0,0,0
4804,multnomah,precinct,False,0,0,0,0,0,8110,0,0,0,0
4805,multnomah,precinct,False,0,0,0,0,0,552,0,0,0,0
4806,multnomah,precinct,False,0,0,0,0,0,8315,0,0,0,0
4807,multnomah,precinct,False,0,0,0,0,0,430,0,0,0,0
4808,multnomah,precinct,False,0,0,0,0,0,2604,0,0,0,0
4809,multnomah,precinct,False,0,0,0,0,0,17,0,0,0,0
4901,multnomah,precinct,False,0,0,0,0,0,146,0,0,0,0
4902,multnomah,precinct,False,0,0,0,0,0,328,0,0,0,0
4903,multnomah,precinct,False,0,0,0,0,0,6733,0,0,0,0
4904,multnomah,precinct,False,0,0,0,0,0,2387,0,0,0,0
4905,multnomah,precinct,False,0,0,0,0,0,8394,0,0,0,0
4906,multnomah,precinct,False,0,0,0,0,0,3456,0,0,0,0
4907,multnomah,precinct,False,0,0,0,0,0,6282,0,0,0,0
4908,multnomah,precinct,False,0,0,0,0,0,8668,0,0,0,0
4909,multnomah,precinct,False,0,0,0,0,0,6747,0,0,0,0
4910,multnomah,precinct,False,0,0,0,0,0,503,0,0,0,0
5001,multnomah,precinct,False,0,0,0,0,0,194,0,0,0,0
5002,multnomah,precinct,False,0,0,0,0,0,8149,0,0,0,0
5003,multnomah,precinct,False,0,0,0,0,0,623,0,0,0,0
5004,multnomah,precinct,False,0,0,0,0,0,4798,0,0,0,0
5005,multnomah,precinct,False,0,0,0,0,0,8214,0,0,0,0
5006,multnomah,precinct,False,0,0,0,0,0,6874,0,0,0,0
5007,multnomah,precinct,False,0,0,0,0,0,9077,0,0,0,0
5008,multnomah,precinct,False,0,0,0,0,0,7795,0,0,0,0
5009,multnomah,precinct,False,0,0,0,0,0,296,0,0,0,0
5201,multnomah,precinct,False,0,0,0,0,0,3179,0,0,0,0
5202,multnomah,precinct,False,0,0,0,0,0,5685,0,0,0,0
grand_total,grand_total,overall,True,60615,12764,1211,384,74974,574531,383262,0.6671,0.1956,1
